nohup: ignoring input
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Linear-1                   [-1, 28]             868
              ReLU-2                   [-1, 28]               0
            Linear-3                   [-1, 24]             696
              ReLU-4                   [-1, 24]               0
            Linear-5                   [-1, 20]             500
              ReLU-6                   [-1, 20]               0
            Linear-7                   [-1, 16]             336
            Linear-8                   [-1, 16]             336
================================================================
Total params: 2,736
Trainable params: 2,736
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.00
Forward/backward pass size (MB): 0.00
Params size (MB): 0.01
Estimated Total Size (MB): 0.01
----------------------------------------------------------------
encoder: None
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Linear-1                   [-1, 20]             340
              ReLU-2                   [-1, 20]               0
            Linear-3                   [-1, 24]             504
              ReLU-4                   [-1, 24]               0
            Linear-5                   [-1, 28]             700
              ReLU-6                   [-1, 28]               0
            Linear-7                   [-1, 30]             870
================================================================
Total params: 2,414
Trainable params: 2,414
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.00
Forward/backward pass size (MB): 0.00
Params size (MB): 0.01
Estimated Total Size (MB): 0.01
----------------------------------------------------------------
decoder: None
epoch=100, loss=1.67e-02, min_loss=1.67e-02, kld=37.09, recon=1.59e-02, size_dis=0.098, mean_size=8.33, max_size=3506.82(997), time=2.92
epoch=200, loss=1.41e-02, min_loss=1.41e-02, kld=35.51, recon=1.34e-02, size_dis=0.079, mean_size=1.32, max_size=123.59(999), time=5.82
epoch=300, loss=1.33e-02, min_loss=1.32e-02, kld=36.51, recon=1.26e-02, size_dis=0.074, mean_size=1.34, max_size=105.58(999), time=8.70
epoch=400, loss=1.28e-02, min_loss=1.27e-02, kld=35.74, recon=1.20e-02, size_dis=0.070, mean_size=2.74, max_size=290.90(466), time=11.62
epoch=500, loss=1.21e-02, min_loss=1.21e-02, kld=35.49, recon=1.14e-02, size_dis=0.066, mean_size=3.89, max_size=1450.42(997), time=14.51
epoch=600, loss=1.08e-02, min_loss=1.07e-02, kld=37.31, recon=1.01e-02, size_dis=0.054, mean_size=0.67, max_size=79.39(997), time=17.41
epoch=700, loss=1.04e-02, min_loss=1.03e-02, kld=37.35, recon=9.65e-03, size_dis=0.051, mean_size=0.69, max_size=86.20(997), time=20.29
epoch=800, loss=1.00e-02, min_loss=1.00e-02, kld=36.85, recon=9.30e-03, size_dis=0.050, mean_size=0.63, max_size=63.13(997), time=23.09
epoch=900, loss=9.90e-03, min_loss=9.78e-03, kld=36.46, recon=9.17e-03, size_dis=0.048, mean_size=0.64, max_size=80.40(997), time=26.02
epoch=1000, loss=9.74e-03, min_loss=9.67e-03, kld=35.32, recon=9.03e-03, size_dis=0.048, mean_size=0.64, max_size=72.16(997), time=28.98

24412, 35791, acc=3.07e-02, 3.71e-02, 5.47e-02, cov=3.59e-02, 4.84e-02, 7.43e-02

epoch=1100, loss=9.59e-03, min_loss=9.49e-03, kld=35.40, recon=8.89e-03, size_dis=0.047, mean_size=0.59, max_size=62.11(997), time=40.18
epoch=1200, loss=9.50e-03, min_loss=9.39e-03, kld=34.77, recon=8.80e-03, size_dis=0.047, mean_size=0.65, max_size=70.71(997), time=43.08
epoch=1300, loss=9.33e-03, min_loss=9.31e-03, kld=34.03, recon=8.65e-03, size_dis=0.046, mean_size=0.64, max_size=80.27(997), time=46.00
epoch=1400, loss=9.25e-03, min_loss=9.22e-03, kld=33.15, recon=8.59e-03, size_dis=0.046, mean_size=0.61, max_size=56.21(997), time=48.90
epoch=1500, loss=9.13e-03, min_loss=9.13e-03, kld=32.76, recon=8.47e-03, size_dis=0.046, mean_size=0.64, max_size=54.88(997), time=51.81
epoch=1600, loss=9.13e-03, min_loss=9.08e-03, kld=32.16, recon=8.49e-03, size_dis=0.045, mean_size=0.56, max_size=45.21(497), time=54.67
epoch=1700, loss=9.06e-03, min_loss=9.03e-03, kld=31.95, recon=8.43e-03, size_dis=0.045, mean_size=0.64, max_size=118.95(997), time=57.60
epoch=1800, loss=9.04e-03, min_loss=8.97e-03, kld=31.79, recon=8.40e-03, size_dis=0.044, mean_size=0.61, max_size=65.46(997), time=60.53
epoch=1900, loss=8.92e-03, min_loss=8.89e-03, kld=31.76, recon=8.28e-03, size_dis=0.044, mean_size=0.63, max_size=83.12(997), time=63.43
epoch=2000, loss=8.91e-03, min_loss=8.84e-03, kld=31.80, recon=8.27e-03, size_dis=0.044, mean_size=0.61, max_size=54.26(997), time=66.34

14486, 35791, acc=2.87e-02, 3.19e-02, 4.70e-02, cov=4.09e-02, 5.19e-02, 8.72e-02

epoch=2100, loss=8.90e-03, min_loss=8.77e-03, kld=31.27, recon=8.27e-03, size_dis=0.044, mean_size=0.65, max_size=73.38(997), time=77.46
epoch=2200, loss=8.74e-03, min_loss=8.74e-03, kld=31.52, recon=8.11e-03, size_dis=0.044, mean_size=0.94, max_size=283.16(997), time=80.33
epoch=2300, loss=8.76e-03, min_loss=8.70e-03, kld=31.38, recon=8.14e-03, size_dis=0.044, mean_size=1.08, max_size=338.20(997), time=83.23
epoch=2400, loss=8.69e-03, min_loss=8.65e-03, kld=31.04, recon=8.07e-03, size_dis=0.043, mean_size=0.74, max_size=154.21(997), time=86.02
epoch=2500, loss=8.75e-03, min_loss=8.58e-03, kld=30.79, recon=8.14e-03, size_dis=0.043, mean_size=0.59, max_size=81.47(997), time=88.88
epoch=2600, loss=8.62e-03, min_loss=8.53e-03, kld=30.74, recon=8.00e-03, size_dis=0.043, mean_size=0.73, max_size=185.60(997), time=91.81
epoch=2700, loss=8.52e-03, min_loss=8.49e-03, kld=31.00, recon=7.90e-03, size_dis=0.042, mean_size=0.57, max_size=75.99(997), time=94.74
epoch=2800, loss=8.54e-03, min_loss=8.47e-03, kld=30.49, recon=7.93e-03, size_dis=0.042, mean_size=0.55, max_size=49.04(999), time=97.65
epoch=2900, loss=8.47e-03, min_loss=8.40e-03, kld=30.60, recon=7.85e-03, size_dis=0.042, mean_size=0.52, max_size=63.45(997), time=100.59
epoch=3000, loss=8.51e-03, min_loss=8.33e-03, kld=30.47, recon=7.90e-03, size_dis=0.042, mean_size=0.58, max_size=95.25(999), time=103.42

18438, 35791, acc=2.69e-02, 3.00e-02, 4.04e-02, cov=3.57e-02, 4.82e-02, 7.63e-02

epoch=3100, loss=8.37e-03, min_loss=8.31e-03, kld=30.22, recon=7.77e-03, size_dis=0.042, mean_size=0.66, max_size=175.75(999), time=114.59
epoch=3200, loss=8.46e-03, min_loss=8.28e-03, kld=30.37, recon=7.85e-03, size_dis=0.041, mean_size=0.57, max_size=109.73(997), time=117.39
epoch=3300, loss=8.38e-03, min_loss=8.25e-03, kld=29.87, recon=7.78e-03, size_dis=0.041, mean_size=0.53, max_size=61.02(999), time=120.27
epoch=3400, loss=8.19e-03, min_loss=8.19e-03, kld=29.87, recon=7.59e-03, size_dis=0.041, mean_size=0.50, max_size=55.87(999), time=123.18
epoch=3500, loss=8.16e-03, min_loss=8.14e-03, kld=29.26, recon=7.58e-03, size_dis=0.041, mean_size=0.55, max_size=80.66(999), time=126.10
epoch=3600, loss=8.13e-03, min_loss=8.08e-03, kld=29.12, recon=7.55e-03, size_dis=0.041, mean_size=0.54, max_size=93.01(999), time=129.00
epoch=3700, loss=8.09e-03, min_loss=8.05e-03, kld=29.26, recon=7.50e-03, size_dis=0.040, mean_size=0.59, max_size=119.06(999), time=131.90
epoch=3800, loss=8.03e-03, min_loss=7.98e-03, kld=28.98, recon=7.45e-03, size_dis=0.040, mean_size=0.57, max_size=112.50(999), time=134.85
epoch=3900, loss=8.01e-03, min_loss=7.93e-03, kld=28.98, recon=7.43e-03, size_dis=0.040, mean_size=0.56, max_size=96.45(999), time=137.76
epoch=4000, loss=7.95e-03, min_loss=7.87e-03, kld=28.97, recon=7.37e-03, size_dis=0.039, mean_size=0.68, max_size=148.68(997), time=140.70

22116, 35791, acc=2.77e-02, 3.09e-02, 4.94e-02, cov=3.66e-02, 4.99e-02, 8.25e-02

epoch=4100, loss=7.80e-03, min_loss=7.80e-03, kld=29.44, recon=7.21e-03, size_dis=0.039, mean_size=0.61, max_size=109.89(999), time=152.01
epoch=4200, loss=7.76e-03, min_loss=7.73e-03, kld=29.37, recon=7.18e-03, size_dis=0.039, mean_size=0.67, max_size=146.27(997), time=154.91
epoch=4300, loss=7.80e-03, min_loss=7.67e-03, kld=29.21, recon=7.22e-03, size_dis=0.038, mean_size=0.91, max_size=406.34(999), time=157.87
epoch=4400, loss=7.75e-03, min_loss=7.62e-03, kld=29.08, recon=7.17e-03, size_dis=0.038, mean_size=0.61, max_size=172.35(997), time=160.71
epoch=4500, loss=7.61e-03, min_loss=7.59e-03, kld=28.95, recon=7.03e-03, size_dis=0.038, mean_size=0.51, max_size=92.76(999), time=163.47
epoch=4600, loss=7.59e-03, min_loss=7.52e-03, kld=29.28, recon=7.00e-03, size_dis=0.038, mean_size=0.47, max_size=59.54(997), time=166.35
epoch=4700, loss=7.47e-03, min_loss=7.47e-03, kld=29.18, recon=6.89e-03, size_dis=0.038, mean_size=0.61, max_size=118.11(997), time=169.26
epoch=4800, loss=7.55e-03, min_loss=7.45e-03, kld=28.93, recon=6.97e-03, size_dis=0.037, mean_size=0.65, max_size=165.05(999), time=172.22
