nohup: ignoring input
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Linear-1                   [-1, 28]             868
              ReLU-2                   [-1, 28]               0
            Linear-3                   [-1, 24]             696
              ReLU-4                   [-1, 24]               0
            Linear-5                   [-1, 20]             500
              ReLU-6                   [-1, 20]               0
            Linear-7                   [-1, 16]             336
            Linear-8                   [-1, 16]             336
================================================================
Total params: 2,736
Trainable params: 2,736
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.00
Forward/backward pass size (MB): 0.00
Params size (MB): 0.01
Estimated Total Size (MB): 0.01
----------------------------------------------------------------
encoder: None
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Linear-1                   [-1, 20]             340
              ReLU-2                   [-1, 20]               0
            Linear-3                   [-1, 24]             504
              ReLU-4                   [-1, 24]               0
            Linear-5                   [-1, 28]             700
              ReLU-6                   [-1, 28]               0
            Linear-7                   [-1, 30]             870
================================================================
Total params: 2,414
Trainable params: 2,414
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.00
Forward/backward pass size (MB): 0.00
Params size (MB): 0.01
Estimated Total Size (MB): 0.01
----------------------------------------------------------------
decoder: None
epoch=100, loss=1.99e-02, min_loss=1.98e-02, kld=20.39, recon=1.89e-02, size_dis=0.120, mean_size=3.13, max_size=251.57(997), time=2.88
epoch=200, loss=1.51e-02, min_loss=1.51e-02, kld=24.14, recon=1.39e-02, size_dis=0.082, mean_size=3.81, max_size=334.83(686), time=5.90
epoch=300, loss=1.38e-02, min_loss=1.38e-02, kld=23.22, recon=1.26e-02, size_dis=0.074, mean_size=3.67, max_size=424.65(459), time=8.76
epoch=400, loss=1.33e-02, min_loss=1.32e-02, kld=21.53, recon=1.22e-02, size_dis=0.071, mean_size=2.22, max_size=198.81(464), time=11.60
epoch=500, loss=1.28e-02, min_loss=1.28e-02, kld=20.60, recon=1.18e-02, size_dis=0.069, mean_size=1.50, max_size=133.27(307), time=14.44
epoch=600, loss=1.25e-02, min_loss=1.25e-02, kld=19.30, recon=1.16e-02, size_dis=0.067, mean_size=1.39, max_size=86.55(999), time=17.12
epoch=700, loss=1.23e-02, min_loss=1.22e-02, kld=17.09, recon=1.15e-02, size_dis=0.067, mean_size=1.56, max_size=125.48(466), time=19.84
epoch=800, loss=1.22e-02, min_loss=1.20e-02, kld=16.35, recon=1.14e-02, size_dis=0.066, mean_size=1.74, max_size=310.98(999), time=22.84
epoch=900, loss=1.19e-02, min_loss=1.18e-02, kld=15.62, recon=1.11e-02, size_dis=0.065, mean_size=1.54, max_size=190.68(999), time=25.68
epoch=1000, loss=1.18e-02, min_loss=1.17e-02, kld=15.18, recon=1.10e-02, size_dis=0.065, mean_size=1.77, max_size=414.34(999), time=28.67

16683, 35791, acc=3.40e-02, 3.98e-02, 4.56e-02, cov=3.30e-02, 4.36e-02, 8.88e-02

epoch=1100, loss=1.16e-02, min_loss=1.16e-02, kld=14.95, recon=1.09e-02, size_dis=0.064, mean_size=1.73, max_size=332.28(999), time=40.42
epoch=1200, loss=1.16e-02, min_loss=1.15e-02, kld=14.86, recon=1.08e-02, size_dis=0.064, mean_size=1.39, max_size=192.32(999), time=43.33
epoch=1300, loss=1.15e-02, min_loss=1.14e-02, kld=14.80, recon=1.07e-02, size_dis=0.063, mean_size=1.90, max_size=738.14(999), time=46.34
epoch=1400, loss=1.13e-02, min_loss=1.13e-02, kld=14.72, recon=1.06e-02, size_dis=0.063, mean_size=1.27, max_size=220.75(999), time=49.47
epoch=1500, loss=1.12e-02, min_loss=1.12e-02, kld=14.66, recon=1.05e-02, size_dis=0.063, mean_size=1.28, max_size=247.47(999), time=52.61
